Politikbereich,Zweck
Bildung,geschlecht gewalt genozid frau völkermord vortrag diskussionsreihe berlin
Integration,integration geflüchtet mensch
Bildung,unterstützung jugendverkehrsschulen
Arbeit,agens jobcoaching
Arbeit,ambrosiajäger
Arbeit,anleiter sozial schreibbüro
Arbeit,berliner jobcoaching agens jobcoaching
Arbeit,berliner jobcoaching geflüchtete mensch beschäftigungsmaßnahmen bjc fib
Arbeit,betreuungsassistenz ältere mensch behinderung modul ersthelferschulung
Arbeit,erweiterung angebot jugendverkehrsschulen charlottenburg wilmersdorf
Arbeit,fav beliebt platz reinickendorf barrierefrei
Arbeit,fav freizeit veranstaltungsunterstützer reinickendorf
Arbeit,fav grüner hauptwege barrierefrei tempelhof schöneberg
Arbeit,fav grüner hauptwege friedrichshain kreuzberg barrierefrei
Arbeit,fav grüner hauptwege spandau barrierefrei
Arbeit,fav interkulturelles kompetenzzentrum
Arbeit,fav lese lust reinickendorf
Arbeit,fav sauber reinickendorfer friedhof
Arbeit,fav sauberes reinickendorf nord
Arbeit,fav sauberes reinickendorf ost
Arbeit,fav unterstützung jugendverkehrsschulen charlottenburg wilmersdorf
Arbeit,fav unterstützung jugendverkehrsschulung
Arbeit,fav wegweiser mensch behinderung tsch
Arbeit,gepflegte friedhofsanlagen
Arbeit,geprüfte betreuungsfachkraft gemäß richtlinie b absatz sgb xi
Arbeit,grüner hauptwege mitte barrierefrei
Arbeit,interkulturelles kompetenzzentrum neukölln
Arbeit,lese lust
Arbeit,pflegebasiskurs beruflich praktikum prüfung pflegehelfer
Arbeit,saubere friedhof reinickendorf
Arbeit,sauber reinickendorf
Arbeit,sauber tempelhof schöneberg
Arbeit,soziale bücherbörse
Arbeit,sozial schreibbüro
Arbeit,soziales schreibbüro einführung
Arbeit,wach sicherheitsgewerbe vorbereitung sachkundeprüfung
Arbeit,agens jobcoaching ögb
Arbeit,berliner jobcoaching geflüchtete mensch beschäftigungsmaßnahmen
Arbeit,datenerhebungen thema gesundheit kultur sport
Arbeit,digitalisierung fotonachlassen
Arbeit,egz projektassistenz
Arbeit,freizeit veranstaltungsunterstützer reinickendorf
Arbeit,freizeitangebote seniorenbesuchsdienst
Arbeit,geprüfte betreuungsfachkraft gemäß richtlinie c b a. f. sgb xi
Arbeit,grüner hauptwege friedrichshain kreuzberg barrierefrei
Arbeit,grüner hauptwege spandau barrierefrei
Arbeit,helfer gewerblich technisch bereich
Arbeit,interkulturelles kompetenzzentrum
Arbeit,mobilität schaffen inklusion
Arbeit,sauber reinickendorfer friedhof
Arbeit,sauberes reinickendorf ost
Arbeit,wegweiser mensch behinderung tsch
Arbeit,wegweiser mensch behinderung friedrichshain kreuzberg barrierefrei
Arbeit,zielgruppen orientieren lernangebote jugendverkehrsschulen
Arbeit,agens bjc ögb
Arbeit,antragshilfe tempelhof schöneberg
Arbeit,barrierefreie beherbergungsbetriebe
Arbeit,beschäftigungstrainer agens
Arbeit,digitalisierung historisch ihk akte
Arbeit,gepflegte friedhof mitte
Arbeit,gepflegte friedhofsanlagen reinickendorf
Arbeit,gepflegte grünfläche reinickendorf
Arbeit,interkulturelle sprachmittlung begleitdienst
Arbeit,jobcoaching
Arbeit,naturschutz saubere gewässer
Arbeit,sauber friedhof spielplätze
Arbeit,sauber grünanlage
Arbeit,unterstützung zusätzlich lernangeboten jugendverkehrsschulen
Arbeit,vorlesedienst mitte
Arbeit,vorleseservice senior reinickendorf
Arbeit,agens bjc
Arbeit,beschäftigungstrainer agens
Arbeit,beschäftigungstrainer ii agens
Arbeit,ausstellungs veranstaltungshelfer
Arbeit,begleitservice freizeitangebote senior charlottenburg wilmersdorf
Arbeit,begleitservice freizeitangebote senior spandau
Arbeit,datenerhebungen barrierefreiheit pankow
Arbeit,erfassung aufbereitung historisch dokument landesarchiv berlin
Arbeit,erfassung aufbereitung historisch dokument landesarchiv berlin
Arbeit,erfassung aufbereitung historisch dokument landesarchiv berlin
Arbeit,erfassung aufbereitung historisch dokument landesarchiv berlin
Arbeit,erfassung aufbereitung historisch dokument zitadelle spandau
Arbeit,erfassung aufbereitung historisch dokument charlottenburg wilmersdorf
Arbeit,gepflegte grünanlage freizeitpark
Arbeit,gepflegte grünanlage mitte
Arbeit,gepflegte grünanlage reinickendorf
Arbeit,gepflegte grünanlage friedhof spielplätze
Arbeit,jugendverkehrsschulen
Arbeit,mobiles sozial schreibbüro charlottenburg wilmersdorf
Arbeit,naturschutz gewässer straßenbegleitgrün
Arbeit,soziales schreibbüro mitte
Arbeit,soziales schreibbüro tempelhof schöneberg
Arbeit,sozialwerkstatt mobiles handwerk spandau
Arbeit,vorlesedienste mitte
Arbeit,waldpflege naherholungsgebiete pankow
Arbeit,agens bjc
Arbeit,beschäftigungstrainer agens
Arbeit,soziales schreibbüro
Arbeit,datenerhebungen barrierefreiheit treptow köpenick
Arbeit,vorlesedienste mobilitätseingeschränkte senior
Integration,unterstützung geflüchtet kind jugendverkehrsschulen
Bildung,zeitzeug*innen interview lernort keibelstraße
Bildung,ausbau lernmodule lernort keibelstraße
Bildung,leben werkstattgespräch nichtkonformen lebensentwürfen kriminalisierung frau ddr
Bildung,sinti roma berlin präsenz diskriminierung verfolgung
Bildung,lernort keibelstraße
Bildung,kolonialismus aufarbeitung erinnerung berlin
Bildung,lernort keibelstraße
Bildung,werkstattgespräch weiblich devianzen jugendlich subkultur
Antidiskriminierung,webbasiertes quelle informations portal lsbti geschichte
Bildung,lernort ehemalig polizeigefängnis keibelstraße
Bildung,aktualität antiziganismus stereotyp problemlagen gegenmaßnahme
Bildung,queer history month
Bildung,queer history month
Kultur,inhaltlich erweiterung ausstellung lernort keibelstraße
Arbeit,lohnkostenzuschuss aggreda gmbh
Integration,seifit förderung polnisch community berlin erfolgreich integration arbeitsmarkt politische partizipation gesellschaft
Integration,partizipations integrationsprogramm
Bildung,polmotion bewegung polnisch frau mikroprojekte workshop
Integration,fit förderung polnisch community berlin erfolgreich integration arbeitsmarkt poltische partizipation gesellschaft
Kultur,fellowship programm weltoffenes berlin
Bildung,democratic meme factory
Bildung,polmotion bewegung polnisch frau
Kultur,bestandsoptimierungsprogramm anteilige miete
Kultur,durchführung projekt beruflich beratung unterstützung vernetzung professionelle kunst medium kulturschaffenden
Stadtentwicklung,natürliche nachbar
Integration,aufbruch
Umwelt,naturnahe pflege umweltbildung landschaftspark herzberge
Integration,effekt treibhaus chance
Jugend,interkulturelle begegnung zukunft mensch
Jugend,jugendarbeit jfe treibhaus
Kultur,entwicklung weiterführung kulturell veranstaltung kulturgut marzahn
Kultur,geschichte kunsthauses flora
Kultur,kulturell höhepunkt kulturgut dorf marzahn kulturveranstaltungen
Kultur,kunsthaus flora kulturell angebot grüne
Kultur,sicherung weiterführung kulturell veranstaltung kunsthaus flora
Stadtentwicklung,gesund isst kiez
Stadtentwicklung,stabilisierung garten begegnung miteinander grüne
Integration,masterplan integration
Jugend,bunte tour marzahn
Jugend,perspektive respekt
Jugend,spaceparade marzahn
Kultur,aufrechterhaltung lesung literarisch va peter weiss bibliothek
Kultur,fortführung jugendkunstschule berliner modell
Kultur,kinderleicht gesund
Kultur,kulturell angebot grüne
Kultur,kulturell höhepunkt kulturgut dorf marzahn
Kultur,kulturgut weiterführung kultureller angebot
Kultur,kunsthaus flora sicherung weiterführung kulturell angebot
Kultur,tarifanpassung
Stadtentwicklung,natur umwelt kreativität
Stadtentwicklung,sicher quartier barrierefrei sauber hellen
Stadtentwicklung,treffpunkt garten
Jugend,begleitung regie jugendforum marzahn
Jugend,bunte tour marzahn ` s kunterbunt
Jugend,integration partnerschaft garten begegnung
Jugend,jugendforum marzahn
Jugend,zukunft achtsamkeit
Kultur,passion for jazz kulturgut
Kultur,aufrechterhaltung dienstbetrieb kunsthaus flora
Kultur,aufrechterhaltung profilierung kulturell angebot peter weiss bibliothek
Kultur,bienengarten
Kultur,lesender bezirk
Kultur,marzahn kulturelle künstlerische vielfalt kulturgut
Kultur,zaungestaltung
Stadtentwicklung,gesund isst kiez schlusszahlung vwn
Stadtentwicklung,stabilisierung garten begegnung miteinander grüne schlusszahlung vwn
Kultur,fortführung dienstbetrieb kunsthaus flora
Kultur,kultur kunst bezirk kulturgut
Kultur,marzahner kultur kulturerlebnistage
Kultur,marzahner singen dorfanger advent weihnachtslieder
Kultur,realisierung angebot jugendkunstschule standort kulturgut kunsthaus flora
Kultur,stabilisierung kulturell angebot bezirk ehrenamtlich betriebene peter weiss bibliothek
Kultur,kulturelle angebot peter weiss bibliothek
Kultur,ankauf medium peter weiss bibliothek
Kultur,fortführung dienstbetrieb kunsthaus flora
Kultur,kulturgut alt marzahn ort kulturell künstlerisch kreativ vielfalt
Kultur,marzahner kultur kulturerlebnistage
Kultur,schutz ehrenamtliche besucher arbeit kulturgut alt marzahn
Kultur,wildwuchs umweltbildung bauerngarten
Stadtentwicklung,sichern sauber grün
Kultur,kunstprojekt dezentrale kulturarbeit
Stadtentwicklung,buntes quartier neugestaltung sonnencenter vorbereitung
Integration,nachbarschaftliches erzähl café leuchtturm
Stadtentwicklung,buntes quartier neugestaltung sonnencenter umsetzung
Umwelt,einrichtung bezirklichenkoordinierungsstelle natur umweltbildung pankow
Stadtentwicklung,rollberge aktiv kiez
Stadtentwicklung,miteinander lesen
Jugend,rollberge aktiv kiez bvv sondermittel
Stadtentwicklung,gemeinsam park
Arbeit,berliner jobcoaching jobcoach team
Arbeit,berliner jobcoaching jobcoach team
Arbeit,berliner jobcoaching jobcoach team
Arbeit,berliner jobcoaching jobcoach team
Arbeit,berliner jobcoaching jobcoaching
Arbeit,betreuung begleitung freizeitsport reinickendorf
Arbeit,fav aufarbeitung agrar hist maschine gerät spandau
Arbeit,fav bürger kieztreff rollberge
Arbeit,fav bürger kieztreff rollberge team
Arbeit,fav erhalt wegesysteme landschaftsschutz hahneberg
Arbeit,fav holz kreativwerkstatt
Arbeit,fav kiezkontakte
Arbeit,fav kiezläufer letteplatz
Arbeit,fav kiezläufer quartiersgebiet letteplatz
Arbeit,fav kultur gemeinsam erleben
Arbeit,fav landschaftsentwicklung gutspark neu kladow
Arbeit,fav märchenstube tempelhof
Arbeit,fav natur kunstführer spandau
Arbeit,fav natur umweltführer kunst freiraum spandau
Arbeit,fav natur umweltschutz reinickendorf
Arbeit,fav natur umweltschutz reinickendorf
Arbeit,fav natur umweltschutz reinickendorf team
Arbeit,fav sozial bücherstube begegnungs kommunikationsort
Arbeit,fav sozial selbsthilfewerkstatt nähstube
Arbeit,fav sozial selbsthilfewerkstatt nähstube team
Arbeit,fav sportbetreuer
Arbeit,fav sportbetreuer freizeitsport team
Arbeit,fav umweltbüro friedrichshain kreuzberg
Arbeit,fav umweltbüro umweltführer
Arbeit,gesund ernährung
Arbeit,holz kreativwerkstatt
Arbeit,interkulturelle begegnungsstätte volkspark friedrichshain
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,ma projektmanagement
Arbeit,märchenkulissen requisite
Arbeit,märchenstube neukölln
Arbeit,nähstube selbsthilfewerkstatt
Arbeit,reinickendorfer beschäftigungswerkstatt
Arbeit,schüler weinberg
Arbeit,team natur umweltschutz bezirk reinickendorf
Arbeit,team rollberge
Arbeit,tierhof marzahn iga
Arbeit,unterstützung veranstaltungsmanagement kulturgut
Arbeit,aufarbeitung agrar hist maschine gerät spandau
Arbeit,ausstellungsservice bezirksmuseum
Arbeit,ausstellungsservice galerie m
Arbeit,baumbibliothek landschaftspark herzberge
Arbeit,berliner jobcoaching ögb team
Arbeit,beschäftigungsinitiative selbsthilfewerkstatt reinickendorf
Arbeit,botanisch küche gesunden ernährung kind jugendliche
Arbeit,bürger kieztreff rollberge
Arbeit,bürger kieztreff rollberge team
Arbeit,historisch handwerksschau
Arbeit,historisch maschine gerät
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,kiezläufer letteplatz
Arbeit,kulturell vielfalt gemeinsam erleben
Arbeit,lsk britzer weinkultur neugestaltung veranstaltungskomplex
Arbeit,lsk lehrpfad umweltbüro pankow
Arbeit,lsk bienenstaat imkerei biene aktivlehrpfad
Arbeit,natur kunst freiraum spandau
Arbeit,natur kunstführer spandau
Arbeit,natur landschaftsschutz kommunal grünfläche
Arbeit,natur umweltschutz reinickendorf
Arbeit,natur umweltschutz reinickendorf team
Arbeit,peb lichtenberger xylothek
Arbeit,reparieren wegschmeißen
Arbeit,schau erlebniswelt natur
Arbeit,sozial selbsthilfewerkstatt nähstube
Arbeit,sozial selbsthilfewerkstatt nähstube team
Arbeit,sportbetreuer
Arbeit,strandbad rahnsdorf vergangenheit gegenwart zukunft
Arbeit,beschäftigungstrainer
Arbeit,grünes klassenzimmer
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,keramik
Arbeit,keramikwerkstatt unterstützung sozial kulturell einrichtung marzahn hellersdorf
Arbeit,lsk rinderweide zingster straße
Arbeit,lsk unterstützung sozial integration bedarfsgerechte angebot rollbergkiez
Arbeit,team junger jazz
Arbeit,umweltbildung umweltbüro pankow
Arbeit,umweltbüro friedrichshain kreuzberg
Arbeit,umweltführer mitte
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,bauernhof stadt
Arbeit,betreuung strandbad müggelsee
Arbeit,gartenteam alt marzahn
Arbeit,gartenteam britzer weinkultur
Arbeit,gesund ernährung reinickendorf
Arbeit,gesund küche kinderleicht
Arbeit,kreativwerkstatt marzahn
Arbeit,kunst kultur reinickendorf
Arbeit,kuturunterstützung alt marzahn
Arbeit,logistikteam tierhof alt marzahn
Arbeit,reinickendorf kreativ
Arbeit,reinickendorf kreativ stärkung kultur kreativwirtschaft
Arbeit,selbsthilfewerkstatt reinickendorf
Arbeit,serviceteam xylothek
Arbeit,sportbetreuer freizeitsport
Arbeit,stadtoasen angerdorf marzahn
Arbeit,technikteam alt marzahn
Arbeit,umweltbildung pankow
Arbeit,unterstützung bürgernaher kulturangebote
Arbeit,beschäftigungstrainer
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,jobcoaching
Arbeit,city lotse*in
Arbeit,lotsendienste thp
Umwelt,bildungsgarten grün klassenzimmer
Umwelt,blick tiefe mikroskopieren natur
Umwelt,schaubereich natur raum
Umwelt,einrichtung koordinierungsstelle umweltbildung bezirk pankow
Wirtschaft,dlg feldtage brockhof erwitte lippstadt nrw
Wirtschaft,teilnahme hannover messe industrie
"Kirchen, Religions-, Weltanschauungsgemeinschaften",mitfinanzierung denkmalgerechten sanierung fassade innenraumes imamhauses innenraumes wilmersdorfer moschee rate
Denkmalschutz,sanierung dachflächen fassade ziermauern brienner str.
Denkmalschutz,immanhaus brienner str. denkmalgerechte fenster fassadensanierung
Denkmalschutz,wilmersdorfer moschee denkmalgerechte instandsetzung innenraum moschee imamhaus brienner straße berlin
"Kirchen, Religions-, Weltanschauungsgemeinschaften",teilsicherung sozial integrativ religionsübergreifenden projektarbeit religiös weltanschaulich tätig gemeinschaft
Denkmalschutz,denkmalgerechte dachsanierung brienner straße
Bildung,beschaffung lernmittel schülerin schüler fachschule heilerziehungspflege
Sport,allgemeine verbandszuwendungen
Sport,zuwendung sportlich aufgabe
Sport,zuwendung sportlich aufgabe
Wirtschaft,entwicklung verfahren identifikation fehlberechtigungen microsoft berechtigungssystemen
Wirtschaft,internationalisierung predictive parking service aipark
Wirtschaft,projekt automatisieren erzeugung straßenparkflächen basieren straßenkarten
Wirtschaft,entwicklung bewertungsmethoden analyse luftfahrthindernissen flugplatznahbereich grundlage neu flächenbewertungssysteme icao anpassung erweiterung lehrgangsinhalte hindernisuntersuchungen
Wirtschaft,entwicklung innovativ ansatz berücksichtigung modern triebwerkstechnologien planung bewertung triebwerktestlaufeinrichtungen flugplätzen berechnung lärm schadstoffemissionen flugplatznahbereich
Wirtschaft,entwicklung technisch lösungsansätze einsatz flugsimulationstechnologien durchführung sicherheitsbewertungen luftfahrtbereich
Wirtschaft,roof inspector software
Wirtschaft,roof inspector technologie
Wirtschaft,coaching
Gesundheit,kontakt beratungsstelle transit psychisch kranken
Gesundheit,zuverdienstprojekt kreuzberg
Gesundheit,kontakt beratungsstelle transit psychisch kranken jugendberufsagentur
Gesundheit,kontakt beratungsstelle transit psychisch kranken mobil kbs flüchtlingsarbeit
Gesundheit,zuverdienstzentrale kunstausstellung zuverdienste kreativgruppen psychosozial träger friedrichshain kreuzberg modellprojekt temporär zuverdienstplätze zuverdienst ajb einsatzort prinzessinnengärten
Kultur,malereiprojekt
Soziales,eigeninitiative selbsthilfekontaktstelle treptow köpenick
Soziales,kontaktstelle pflegeengagement treptow köpenick
Pflege,kontaktstelle pflegeengagement treptow köpenick
Soziales,eigeninitiative selbsthilfezentrum treptow köpenick
Umwelt,umweltbildungskonzept zukünftig naturerfahrungsraum volkspark jungfernheide
Arbeit,ajb jobcoach
Arbeit,erlebniswelt tier natur jungfernheidepark fav
Arbeit,peb neues wagen integrationsgarten jungfernheide
Arbeit,stark sozial teilhabe
Soziales,deli social
Gesundheit,zuverdienst arbeit geflüchtete zuverdienst psychisch suchtkrank mensch
Gesundheit,beratung jugendberufsagentur
Gesundheit,zuverdienstprojekt kreuzberg arbeit geflüchtete zuverdienst psychisch suchtkrank mensch
Jugend,zeitzeugen leben ddr
Gesundheit,schaffung bereitstellung zuverdienstmöglichkeiten psychisch suchtkrank junge erwachsene neukölln
Gesundheit,aufbau kontakt beratungsstelle mensch psychisch erkrankung bezirk neukölln
Gesundheit,kontakt beratungsstelle mensch psyischer erkrankung bezirk neukölln
Gesundheit,zuverdienst geflüchteter bezirk neukölln neukölln
Stadtentwicklung,fein einzelmaßnahme zaunfotoprojekt_ajb gmbh
Gesundheit,gruppenraumausstattung kbs treptow
Gesundheit,personal u. sachkosten kbs
Gesundheit,personal u. sachkosten kbs flüchtlingsarbeit
Gesundheit,personal u. sachkosten zuverdienstwerkstatt
Gesundheit,personal u. sachkosten kbs
Gesundheit,personal u. sachkosten kbs flüchtlingsarbeit
Gesundheit,personal u. sachkosten zuverdienstwerkstatt
Gesundheit,personal sachkosten kbs
Gesundheit,personal sachkosten kbs flüchtlingsarbeit
Gesundheit,personal sachkosten zuverdienstwerkstatt
Gesundheit,personal sachkosten zuverdienstwerkstatt flüchtlingsarbeit
Gesundheit,verbesserung kbs angebot
Gesundheit,personal u. sachkosten kbs flüchtlingsarbeit
Gesundheit,personal u. sachkosten zuverdienst flüchtlingsarbeit
Arbeit,berliner jobcoaching ajb jobcoach
Arbeit,fav erlebniswelt tier natur jungfernheidepark fav
Soziales,deli plus förderschwerpunkt
Soziales,selbsthilfekontaktstelle treptow köpenick
Soziales,eigeninitiative selbsthilfekontaktstelle treptow köpenick
Arbeit,erlebniswelt tier natur jungfernheidepark
Arbeit,kunst fassade
Arbeit,lkz handwerk
Arbeit,möbelservice bedürftiger
Soziales,berta
Soziales,deli active
Soziales,selbsthilfezentrum köpenick treptow eigeninitiative
Stadtentwicklung,elterncafè bildungszentrum
"Bürgerschaftliches Engagement, Bürgerbeteiligung",fein einzelmaßnahme entwicklung foto ausstellung nachbarschaftsgarten portrait mensch neukölln umgebung
Kultur,elemental gestures terry fox archiv reenactment
Kultur,digitalisierung onlinestellung ausstellungskataloge preußische akademie kunst berlin
Kultur,kontakte
Denkmalschutz,sanierung vorplatzes
Stadtentwicklung,vorbereitung durchführung international fachtagung moderne neu denken architektur städtebau jahrhundert avantgarde tradition
Kultur,mitfinanzierung architektur ausstellung otto bartning leben werk begleitsymposiums anlässlich jubiläum berliner interbau
Arbeit,aje
Arbeit,bapp gewerblich
Arbeit,bvbo hecker
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo wachsmann
Arbeit,bvbo wachsmann
Arbeit,bvbo hecker
Arbeit,bvbo hecker
Arbeit,bvbo kerschensteiner
Arbeit,bvbo kerschensteiner
Arbeit,bvbo kerschensteiner
Arbeit,bvbo mozart
Arbeit,bvbo mozart
Arbeit,bvbo mozart
Arbeit,bvbo piaget
Arbeit,bvbo virchow
Arbeit,bvbo virchow
Arbeit,bvbo virchow
Arbeit,bvbo virchow
Arbeit,bvbo wachsmann
Arbeit,bvbo friedrich
Arbeit,bvbo hecker
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo sartre
Arbeit,bvbo wachsmann
Arbeit,bvbo wachsmann
Arbeit,bvbo hecker abu
Arbeit,bvbo mozart bib
Arbeit,bvbo mozart bib
Arbeit,bvbo mozart bib
Arbeit,bvbo sartre schuleplus
Arbeit,bvbo virchow qeu
Arbeit,bvbo virchow qeu
Arbeit,bvbo virchow qeu
Arbeit,bvbo wachsmann abu
Arbeit,bvbo wachsmann abu
Arbeit,bvbo wachsmann abu
Arbeit,café it works out integrations workshop orientierung training
Arbeit,anschluss+ abu ggmbh
Arbeit,berufswegecoaching anschluss+
Arbeit,bvbo friedrich abu
Arbeit,bvbo kerschensteiner abu
Arbeit,bvbo sartre sb
Arbeit,bvbo kerschensteiner m + studio b
Arbeit,bvbo kerschensteiner m + studio b
Arbeit,bvbo mozart m brückner
Arbeit,bvbo mozart m + brückner
Arbeit,bvbo mozart m brückner
Arbeit,bvbo piaget m + abu
Arbeit,bvbo sartre m studio b
Arbeit,bvbo virchow m abu
Arbeit,bvbo virchow m abu
Arbeit,bvbo virchow m abu
Arbeit,bvbo wachsmann m abu
Arbeit,bvbo wachsmann m + abu
Arbeit,bvbo wachsmann m abu
Arbeit,bvbo kerschensteiner abu
Arbeit,bvbo nagel abu
Arbeit,bvbo sartre abu
Arbeit,bvbo sartre abu
Arbeit,bvbo sartre m studio b
Arbeit,bapp koch köchin corona aufstockung
Arbeit,fav initiative kulturarbeit akademie historische aufführungspraxis e. v.
Arbeit,initiative kulturarbeit akademie historische aufführungspraxis e. v.
Bildung,beschaffung lernmittel schülerin schüler afib
Pflege,ausbildung pflegefachfrau pflegefachmann
Sport,neubau sanitärräumen dame
Sport,austausch anbindepfählen holzteilen steganlagen
Sport,austausch dacheindeckung
Bildung,politischer salon
Frauen,mehraufwand akelei eingetragen verein
Frauen,zukunftsplanung frau existenzgründungsbereich
Gleichstellung,projektverwaltung abwicklung öffentlichkeitsarbeit
Gleichstellung,frau existenzgründungskurse existenzgründungskurse gründerinnen selbständige frau
Gleichstellung,frau ouq it know how wiedereinstieg
Gleichstellung,existenzgründungskurse gründerinnen selbständige frau
Gleichstellung,goldrausch künstlerinnenprojekt
Arbeit,lohnkostenzuschuss akineum gmbh
Wissenschaft,programm virtual campus coronabedingte technikausstattung
Arbeit,lohnkostenzuschuss akkordio e. k.
Wirtschaft,design aufbau data vaults
Wirtschaft,entwicklung markteinführung viral score
Wirtschaft,forschungsarbeiten viral score
Wirtschaft,einführung qualitätssicherung data engineering
Wirtschaft,empfehlungsstrategien
Wirtschaft,empfehlungsstrategien
Gesundheit,vorbereitung erarbeitung integrationsleitbildes
Antidiskriminierung,landeskoordination schule rassismus schule courage berlin
Antidiskriminierung,landeskoordination schule rassismus schule courage
Antidiskriminierung,landeskoordination schule rassismus schule courage berlin
Kultur,berlin human rights film festival
Kultur,hrffb forum
Soziales,freizeitclub treitschkestr
Soziales,lotse berlin region süd west
Soziales,lotse berlin beratung orientierung vermittlung unterstütztes wohnen volljährig mensch behinderung
Soziales,freizeitclub
Soziales,lotse berlin beratung orientierung vermittlung unterstütztes wohnen volljährig mensch behinderung
Wirtschaft,bundesweite rundreise indisch agrar aktivist dr. ramanjaneyulu
Gesundheit,präventionsarbeit
Bildung,begleitprogramm didaktische handreichung ausstellung extrem gegenwehr berlin
Kultur,verwendung satzungsgemäße aufgabe
Kultur,verwendung satzungsgemäße aufgabe aufgabe koordinierungsstelle stolperstein
Kultur,niemandsland ausweisung polnisch jüdin jude berlin oktober
Kultur,niemandsland ausweisung polnisch jüdin jude berlin oktober
Kultur,gedenktafel
Kultur,ersatztafel fritz kreisler
Kultur,gedenktafel heinz brandt
Kultur,konzeptentwicklung kompetenzstelle historische stadtmarkierungen
Kultur,gedenktafel f. elsass u. l. mehlhorn
Kultur,gedenktafel lotte eisner erna lugebiel erich kästner
Kultur,vorbereitend maßnahme einrichtung koordinierungsstelle historisch stadtmarkierungen
Soziales,fluchtwohnung spandau
Wirtschaft,durchführung betreuung pilotprojekten anlagen
Wirtschaft,entwicklung hybridwasseraufbereitungsverfahrens flotation filtration lagerstättenwasser raffinerieabwasser
Wirtschaft,entwicklung hybridwasseraufbereitungsverfahrens flotation filtration lagerstättenwasser raffinerieabwasser
Wirtschaft,produktdesign akvofloat
Wirtschaft,ifat münchen
Jugend,stadtteilorientierte arbeit kind jugendliche
Jugend,hallenzelte goldbeckweg masterplan integration sicherheit
Jugend,solaranlage goldbeckweg masterplan integration sicherheit
Jugend,wochenend öffnung jfe haveleck goldbeckweg
Jugend,arbeit geflüchteten mensch
Jugend,arbeit jugendlich geflüchtete familie
"Sicherheit, Ordnung",streetwork@online.de
Wirtschaft,aufbau erweitern analytisch plattform vergleich leistung akademisch labore entwickeln speziell student naturwissenschaften
Wirtschaft,betriebsverlagerung
Sport,projekt integration geflüchtete berliner basketballsport
Sport,koordination nachhaltig etablierung sportbetonten bildungsverbundes wedding
Sport,sportbetonter kooperationsverbund alba > wedding moabit
Sport,aufbau kooperation bildungseinrichtungen sport
Sport,aufbau kooperation bildungseinrichtungen sport
Bildung,alba gropiusstadt koordination kooperationsverbund
Stadtentwicklung,alba schule kiez iii
Bildung,albas tägliche sportstunde
Sport,teilhabeprogramm alba schulschiedsrichter
Sport,masterplan integration geflüchtete berliner basketballsport
Sport,teilhabeprogramm personal sachkosten projekt alba schulschiedsrichter kiezhelden
Sport,anteilige finanzierung übungs lehr wettkampfbetriebes jugendabteilung basketball
Sport,gesamtkonzept geflüchteter
Umwelt,studie netzdienliche integration hybrid entsorgungsfahrzeuge
Jugend,unterstützung aktionsprogramm gesundheit apk)/aufbau konsultationskita wortschmiede
Arbeit,barrierefrei leben berlin
Arbeit,informations auskunftsservice hilfelotse mobidat
Arbeit,besuch /betreuungsdienst
Arbeit,gestärkt vernetzt engagement
Arbeit,elternlotsen eltern kind projekt
Arbeit,fav informations auskunftsservice hilfelotse mobidat
Kultur,kunsthaus hohenschönhausen
Gesundheit,zuwendung erwerb mobil soccer arena
Familie,bolzplatz zobeltitzstraße
Jugend,bolzplatzbetreuung klix arena
Integration,integrationslotsen reinickendorf
Arbeit,lernwerkstatt
Integration,umsetzung landesrahmenprogramms integrationslots*innen berlin
Gleichstellung,frau buch
Gleichstellung,interkultureller frauentreff
Gleichstellung,koordinierungsstelle gesundheitsförderung
Gleichstellung,koordinierungsstelle gesundheitsförderung mädchen frau
Stadtentwicklung,infrastrukturstärkung tempohomes
Stadtentwicklung,verbesserung wohnklimas tempohome
Gesundheit,psychosoziale kontakt beratungsstelle blaue lade
Gesundheit,zuverdienstwerkstatt lichtenberg
Frauen,frauenberatung berta buch
Gesundheit,bewegungsförderung buch karow
Gesundheit,kontakt beratungsstelle pankow
Gesundheit,psychosoziale versorgung geflüchtet mensch pankow rahmen kontakt beratungsstelle
Gesundheit,zuverdienst pankow
Jugend,abenteuerspielplatz inge
Soziales,anlaufstelle willkommenskultur stadtteilzentrum turm busonistraße berlin karow
Soziales,stadtteilzentrum turm selbsthilfe beratungsstätte stadtteilzentrum bucher bürgerhaus
Soziales,anlaufstelle geflüchteter berlin buch
Soziales,bucher bürgerhaus selbsthilfe stadtteilzentrum verbindung seniorentreff
Soziales,stadtteilzentrum turm selbsthilfe beratungsstätte busonistraße
