Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Sartre 9-1,8547
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Virchow 10,981
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Virchow 8,29744
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Virchow 9,16016
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Wachsmann 10,11709
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Wachsmann 8,8624
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Wachsmann 8-1,1448
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2016/2017 - Wachsmann 9,4136
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Hecker 8,22000
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Hecker 9,3465
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Kerschensteiner 10,3712
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Kerschensteiner 8,16500
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Kerschensteiner 9,2406
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Mozart 10,10725
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Mozart 8,16500
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Mozart 9,5143
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Piaget 10,1650
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 10,28299
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 8,26169
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 9,26312
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 9-1,9537
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Wachsmann 10,9625
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0.- 2616/2017 - Kerschensteiner 10,5693
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Friedrich 8,34320
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Hecker 10,7700
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Hecker 8,33000
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Kerschensteiner 8,24750
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Kerschensteiner 9,2888
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Mozart 8,24750
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Sartre 8,11880
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Sartre 8/1,6237
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Sartre 9,7920
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Sartre 9/1,12100
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 10,34650
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 8,34320
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 9,28600
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Virchow 9-1,12155
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Wachsmann 10,11550
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Wachsmann 8,35392
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2017/2018 - Wachsmann 9,11781
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Hecker 8 (ABU),33000
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Mozart 10 (BIB),9075
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Mozart 8 (BIB),19800
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Mozart 9 (BIB),9625
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,"BVBO 2.0 - 2018/2019 - Sartre 9, SchulePLUS",11220
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Virchow 10 (QEU),42240
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Virchow 8 (QEU),40260
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Virchow 9 (QEU),21863
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Wachsmann 10 (ABU),11781
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Wachsmann 8 (ABU),36108
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Wachsmann 9 (ABU),11896
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,"Café ""It Works OuT"" - Integrations-Workshops für Orientierung und Training",10000
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,Anschluss+ (ABU gGmbH),121324
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,Berufswegecoaching - Anschluss+,83132
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Friedrich 8 (ABU),43230
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Hecker 8 (ABU),33000
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Kerschensteiner 9 (ABU),8663
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Mozart 8 (BIB),19800
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Sartre 8 (S2B),7260
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Virchow 10 (QEU),42240
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Virchow 8 (QEU),40260
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Virchow 9 (QEU),21863
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Wachsmann 10 (ABU),11781
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Wachsmann 8 (ABU),36108
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2018/2019 - Wachsmann 9 (ABU),11896
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Kerschensteiner 10 - M 3+4 (Studio 2B),8910
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Kerschensteiner 9 - M 3+4 (Studio 2B),13200
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Mozart 10 - M 4 (Brückner),11220
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Mozart 8 - M 1+2 (Brückner),33330
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Mozart 9 - M3 (Brückner),6600
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Piaget 8 - M 1+2 (ABU),41250
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Sartre 11 - M 5 (Studio 2B),1881
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Virchow 10 - M 4 (ABU),26400
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Virchow 8 - M 1 (ABU),40040
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Virchow 9 - M 3 - (ABU),24024
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Wachsmann 10 - M 4 (ABU),9900
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Wachsmann 8 - M 1+2 (ABU),22440
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 - 2019/2020 - Wachsmann 9 - M 3 (ABU),10450
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 -2018/2019 - Kerschensteiner 8 (ABU),11550
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 -2018/2019 - Nagel 8 (ABU),5198
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 -2018/2019 - Sartre 8/1 (ABU),5198
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0 -2018/2019 - Sartre 9/1 (ABU),17050
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,BVBO 2.0.- 2019/2020 - Sartre 9 - M 3 (Studio 2B),8910
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Beilsteiner Straße 118, 12681 Berlin",Arbeit,Anschluss+ (ABU gGmbH),69947
Akademie für Berufsförderung und Umschulung gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Obentrautstraße 16 - 18, 12681 Berlin",Arbeit,BAPP 2020 - Koch/Köchin (Corona-Aufstockung),392650
Akademie für historische Aufführungspraxis e. V.,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Plüschowstraße 7, 14163 Berlin",Arbeit,FAV - Initiative Kulturarbeit - Akademie für historische Aufführungspraxis e. V.,2804
Akademie für historische Aufführungspraxis e. V.,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Plüschowstraße 7, 14163 Berlin",Arbeit,Initiative Kulturarbeit - Akademie für historische Aufführungspraxis e. V.,468
Akademie für Internationale Bildung GmbH (AfIB),Bezirksamt Charlottenburg-Wilmersdorf,Projektförderung,2016,"Haubachstraße 8, 10585 Berlin",Bildung,Beschaffung von Lernmitteln für Schülerinnen und Schüler der AfIB,6188
Akademie für Internationale Bildung GmbH (AfIB),Bezirksamt Charlottenburg-Wilmersdorf,Projektförderung,2017,"Haubachstraße 8, 10585 Berlin",Bildung,Beschaffung von Lernmitteln für Schülerinnen und Schüler der AfIB,4802
Akademie Seehof GmbH,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2020,"Elbestraße 28/29, 12045 Berlin",Pflege,Ausbildung Pflegefachfrau / Pflegefachmann,29258
Akademische Fliegergruppe Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Straße des 17. Juni 135, 10623 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1170
Akademische Fliegergruppe Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Straße des 17. Juni 135, 10623 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1550
Akademische Fliegergruppe Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Straße des 17. Juni 135, 10623 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,3814
Akademische Fliegergruppe Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Straße des 17. Juni 135, 10623 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,3419
Akademische Fliegergruppe Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Straße des 17. Juni 135, 10623 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4048
Akademische Fliegervereinigung Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Postfach 61 02 87, 10924 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,693
Akademische Fliegervereinigung Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Postfach 61 02 87, 10924 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,907
Akademische Fliegervereinigung Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Sendener Weg 43, 13507 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1247
Akademische Fliegervereinigung Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Sendener Weg 43, 13507 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1134
Akademischer Ruder Club zu Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Brandensteinweg 10, 13595 Berlin",Sport,Neubau von Sanitärräumen für Damen,30600
Akademischer Segler-Verein,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Scharfe Lanke 57-61, 13595 Berlin",Sport,Austausch von Anbindepfählen und Holzteilen der Steganlagen,24000
Akademischer Segler-Verein e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Scharfe Lanke 57-61, 13595 Berlin",Sport,Austausch der Dacheindeckung,18000
AKARSU e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2017,"Oranienstraße 25, 10999 Berlin",Bildung,Politischer Salon,4975
AKDS-HLV-TMC-GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Grabbeallee 84, 13156 Berlin",Wirtschaft,Elektrofahrzeug,4000
Akelei e. V.,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Rhinstraße 84, 12681 Berlin",Frauen,Mehraufwand - Akelei e.V.,547
Akelei e. V.,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Rhinstraße 84, 12681 Berlin",Frauen,Zukunftsplanung für Frauen im Existenzgründungsbereich,405666
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2017,"Rhinstraße 84, 12681 Berlin",Gleichstellung,"Projektverwaltung und -abwicklung, Öffentlichkeitsarbeit",80800
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2017,"Rhinstraße 84, 12681 Berlin",Gleichstellung,Frauen Existenzgründungskurse - Existenzgründungskurse für Gründerinnen und selbständige Frauen,332163
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2017,"Rhinstraße 84, 12681 Berlin",Gleichstellung,Frauen OuQ - IT-Know-how für den Wiedereinstieg,777102
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2018,"Rhinstraße 84, 12681 Berlin",Gleichstellung,Existenzgründungskurse für Gründerinnen und selbständige Frauen,176911
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2018,"Rhinstraße 84, 12681 Berlin",Gleichstellung,"Projektverwaltung und -abwicklung, Öffentlichkeitsarbeit",10288
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2019,"Rhinstraße 84, 12681 Berlin",Gleichstellung,Existenzgründungskurse für Gründerinnen und selbständige Frauen,816610
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2020,"Anklamer Straße 38, 10115 Berlin",Gleichstellung,Goldrausch Künstlerinnenprojekt,429438
Akelei e. V.,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung",Projektförderung,2020,"Rhinstraße 84, 12681 Berlin",Gleichstellung,Existenzgründungskurse für Gründerinnen und selbständige Frauen,816610
Akineum GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Grüntaler Straße 14, 13357 Berlin",Arbeit,Lohnkostenzuschuss für Akineum GmbH,12000
Akineum GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Grüntaler Straße 14, 13357 Berlin",Arbeit,Lohnkostenzuschuss für Akineum GmbH,4920
Akkon Hochschule für Humanwissenschaften,Senatskanzlei - Wissenschaft -,Projektförderung,2020,"Lützowstraße 94, 10785 Berlin",Wissenschaft,Programm Virtual Campus (Coronabedingte Technikausstattung),89200
Akkord Film Produktion GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Hohenstaufenstraße 5, 10781 Berlin",Wirtschaft,Elektrofahrzeug,4000
Akkord Film Produktion GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Hohenstaufenstraße 5, 10781 Berlin",Wirtschaft,Ladeinfrastruktur,434
